
time,gFx,gFy,gFz,wx,wy,wz,Bx,By,Bz,
8.999377,-0.0720,1.0244,-0.0169,-0.0109,-0.6761,-0.0030,21.9221,-42.7163,-10.0110,
9.021256,-0.0720,1.0244,-0.0169,-0.0109,-0.6761,-0.0030,21.1823,-41.7809,-12.9972,
9.036289,-0.0751,1.0248,-0.0247,-0.0109,-0.6761,-0.0030,21.1823,-41.7809,-12.9972,
9.042019,-0.0751,1.0248,-0.0247,-0.0109,-0.6761,-0.0030,19.9214,-41.8634,-12.7203,
9.054551,-0.0751,1.0248,-0.0247,-0.0109,-0.6761,-0.0030,19.9214,-41.8634,-12.7203,
9.059874,-0.0751,1.0248,-0.0247,-0.0001,-0.6769,-0.0044,19.9214,-41.8634,-12.7203,
9.063590,-0.0751,1.0248,-0.0247,-0.0001,-0.6769,-0.0044,21.2309,-42.5006,-12.5411,
9.079718,-0.0751,1.0248,-0.0247,-0.0001,-0.6769,-0.0044,19.3976,-43.5554,-11.8140,
9.099858,-0.0751,1.0248,-0.0247,-0.0001,-0.6769,-0.0044,19.7891,-42.4205,-13.0095,
9.113058,-0.0682,1.0243,-0.0228,-0.0001,-0.6769,-0.0044,19.7891,-42.4205,-13.0095,
9.114907,-0.0682,1.0243,-0.0228,-0.0001,-0.6769,-0.0044,19.7891,-42.4205,-13.0095,
9.118434,-0.0682,1.0243,-0.0228,-0.0001,-0.6769,-0.0044,20.2481,-42.5633,-14.4795,
9.133643,-0.0682,1.0243,-0.0228,-0.0461,-0.6948,-0.0221,20.2481,-42.5633,-14.4795,
9.140789,-0.0682,1.0243,-0.0228,-0.0461,-0.6948,-0.0221,19.9376,-41.8778,-11.8320,
9.158640,-0.0682,1.0243,-0.0228,-0.0461,-0.6948,-0.0221,20.0861,-42.1469,-13.3050,
9.174473,-0.1147,1.0353,0.0082,-0.0461,-0.6948,-0.0221,20.0861,-42.1469,-13.3050,
9.176728,-0.1147,1.0353,0.0082,-0.0461,-0.6948,-0.0221,20.0861,-42.1469,-13.3050,
9.177932,-0.1147,1.0353,0.0082,-0.0461,-0.6948,-0.0221,18.6875,-42.9170,-14.0552,
9.190871,-0.1147,1.0353,0.0082,0.0353,-0.6996,-0.0055,18.6875,-42.9170,-14.0552,
9.198512,-0.1147,1.0353,0.0082,0.0353,-0.6996,-0.0055,19.0412,-43.6409,-14.3339,
9.219468,-0.1147,1.0353,0.0082,0.0353,-0.6996,-0.0055,19.2680,-42.4931,-15.8282,
9.232211,-0.0936,1.0304,-0.0377,0.0353,-0.6996,-0.0055,19.2680,-42.4931,-15.8282,
9.239309,-0.0936,1.0304,-0.0377,0.0353,-0.6996,-0.0055,19.2680,-42.4931,-15.8282,
9.243322,-0.0936,1.0304,-0.0377,0.0353,-0.6996,-0.0055,19.3544,-43.5170,-14.1828,
